Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
1,C,F,T,1,77,7/3/19 16:49,,1
2,C,T,NA,1,NA,7/3/19 16:49,,1
3,C,F,T,1,81,7/3/19 16:49,,1
4,C,F,F,1,83,7/3/19 16:49,,1
5,C,F,T,1,86,7/3/19 16:49,,1
6,C,F,F,1,88,7/3/19 16:49,,1
7,C,F,T,1,91,7/3/19 16:49,,1
8,C,F,F,1,93,7/3/19 16:49,,1
9,C,F,F,1,77,7/3/19 16:49,,2
10,C,F,F,1,79,7/3/19 16:49,,2
11,C,F,F,1,81,7/3/19 16:49,,2
12,C,F,T,1,84,7/3/19 16:49,,2
13,C,F,F,1,86,7/3/19 16:49,,2
14,C,F,T,1,89,7/3/19 16:49,,2
15,C,T,NA,1,NA,7/3/19 16:49,,2
16,C,F,T,1,94,7/3/19 16:49,,2
17,C,F,T,1,78,7/3/19 16:49,,3
18,C,F,T,1,80,7/3/19 16:49,,3
19,C,F,T,1,82,7/3/19 16:49,,3
20,C,F,F,1,84,7/3/19 16:49,,3
21,C,F,T,1,87,7/3/19 16:49,,3
22,C,F,F,1,89,7/3/19 16:49,,3
23,C,F,T,1,92,7/3/19 16:49,,3
24,C,F,F,1,94,7/3/19 16:49,,3
25,C,F,F,1,78,7/3/19 16:49,,4
26,C,F,F,1,80,7/3/19 16:49,,4
27,C,F,F,1,82,7/3/19 16:49,,4
28,C,F,T,1,85,7/3/19 16:49,,4
29,C,F,F,1,87,7/3/19 16:49,,4
30,C,F,T,1,90,7/3/19 16:49,,4
31,C,F,F,1,92,7/3/19 16:49,,4
32,C,F,T,1,95,7/3/19 16:49,,4
33,C,F,T,1,79,7/3/19 16:49,,5
34,C,T,NA,1,NA,7/3/19 16:49,,5
35,C,F,T,1,83,7/3/19 16:49,,5
36,C,F,F,1,85,7/3/19 16:49,,5
37,C,F,T,1,88,7/3/19 16:49,,5
38,C,F,F,1,90,7/3/19 16:49,,5
39,C,F,T,1,93,7/3/19 16:49,,5
40,C,F,F,1,95,7/3/19 16:49,,5
41,C,F,T,2,96,7/3/19 16:49,,1
42,C,F,F,2,98,7/3/19 16:49,,1
43,C,F,T,2,102,7/3/19 16:49,,1
44,C,F,F,2,104,7/3/19 16:49,,1
45,C,F,T,2,107,7/3/19 16:49,,1
46,C,F,F,2,109,7/3/19 16:49,,1
47,C,F,T,2,113,7/3/19 16:49,,1
48,C,T,NA,2,NA,7/3/19 16:49,,1
49,C,T,NA,2,NA,7/3/19 16:49,,1
50,C,F,F,2,96,7/3/19 16:49,,2
51,C,F,T,2,100,7/3/19 16:49,,2
52,C,F,F,2,102,7/3/19 16:49,,2
53,C,F,T,2,105,7/3/19 16:49,,2
54,C,F,F,2,107,7/3/19 16:49,,2
55,C,F,T,2,110,7/3/19 16:49,,2
56,C,F,F,2,113,7/3/19 16:49,,2
57,C,F,F,2,115,7/3/19 16:49,,2
58,C,F,T,2,117,7/3/19 16:49,,2
59,C,F,T,2,97,7/3/19 16:49,,3
60,C,F,F,2,100,7/3/19 16:49,,3
61,C,F,T,2,103,7/3/19 16:49,,3
62,C,F,F,2,105,7/3/19 16:49,,3
63,C,F,T,2,108,7/3/19 16:49,,3
64,C,F,F,2,110,7/3/19 16:49,,3
65,C,F,T,2,114,7/3/19 16:49,,3
66,C,F,T,2,116,7/3/19 16:49,,3
67,C,F,F,2,117,7/3/19 16:49,,3
68,C,F,F,2,97,7/3/19 16:49,,4
69,C,F,T,2,101,7/3/19 16:49,,4
70,C,F,F,2,103,7/3/19 16:49,,4
71,C,F,T,2,106,7/3/19 16:49,,4
72,C,F,F,2,108,7/3/19 16:49,,4
73,C,F,T,2,111,7/3/19 16:49,,4
74,C,F,F,2,114,7/3/19 16:49,,4
75,C,F,F,2,116,7/3/19 16:49,,4
76,C,F,T,2,118,7/3/19 16:49,,4
77,C,F,T,2,98,7/3/19 16:49,,5
78,C,F,F,2,101,7/3/19 16:49,,5
79,C,F,T,2,104,7/3/19 16:49,,5
80,C,F,F,2,106,7/3/19 16:49,,5
81,C,F,T,2,109,7/3/19 16:49,,5
82,C,F,F,2,111,7/3/19 16:49,,5
83,C,F,T,2,115,7/3/19 16:49,,5
84,C,T,NA,2,NA,7/3/19 16:49,,5
85,C,F,F,2,118,7/3/19 16:49,,5
