Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
1,C,F,T,1,351,08/05/2019 16:32:43,,1
2,C,F,F,1,353,08/05/2019 16:32:43,,1
3,C,F,T,1,356,08/05/2019 16:32:43,,1
4,C,F,F,1,358,08/05/2019 16:32:43,,1
5,C,F,T,1,361,08/05/2019 16:32:43,,1
6,C,F,F,1,364,08/05/2019 16:32:43,,1
7,C,F,T,1,367,08/05/2019 16:32:43,,1
8,C,T,NA,1,NA,08/05/2019 16:32:43,,1
9,C,F,T,1,369,08/05/2019 16:32:43,,1
10,C,F,F,1,351,08/05/2019 16:32:43,,2
11,C,F,T,1,354,08/05/2019 16:32:43,,2
12,C,F,F,1,356,08/05/2019 16:32:43,,2
13,C,F,T,1,359,08/05/2019 16:32:43,,2
14,C,F,F,1,361,08/05/2019 16:32:43,,2
15,C,F,T,1,365,08/05/2019 16:32:43,,2
16,C,F,F,1,367,08/05/2019 16:32:43,,2
17,C,T,NA,1,NA,08/05/2019 16:32:43,,2
18,C,F,F,1,369,08/05/2019 16:32:43,,2
19,C,F,T,1,352,08/05/2019 16:32:43,,3
20,C,F,F,1,354,08/05/2019 16:32:43,,3
21,C,F,T,1,357,08/05/2019 16:32:43,,3
22,C,F,F,1,359,08/05/2019 16:32:43,,3
23,C,F,T,1,363,08/05/2019 16:32:43,,3
24,C,F,F,1,365,08/05/2019 16:32:43,,3
25,C,F,T,1,368,08/05/2019 16:32:43,,3
26,C,T,NA,1,NA,08/05/2019 16:32:43,,3
27,C,F,T,1,370,08/05/2019 16:32:43,,3
28,C,F,F,1,352,08/05/2019 16:32:43,,4
29,C,F,T,1,355,08/05/2019 16:32:43,,4
30,C,F,F,1,357,08/05/2019 16:32:43,,4
31,C,F,T,1,360,08/05/2019 16:32:43,,4
32,C,F,F,1,363,08/05/2019 16:32:43,,4
33,C,F,T,1,366,08/05/2019 16:32:43,,4
34,C,F,F,1,368,08/05/2019 16:32:43,,4
35,C,T,NA,1,NA,08/05/2019 16:32:43,,4
36,C,F,F,1,370,08/05/2019 16:32:43,,4
37,C,F,T,1,353,08/05/2019 16:32:43,,5
38,C,F,F,1,355,08/05/2019 16:32:43,,5
39,C,F,T,1,358,08/05/2019 16:32:43,,5
40,C,F,F,1,360,08/05/2019 16:32:43,,5
41,C,F,T,1,364,08/05/2019 16:32:43,,5
42,C,F,F,1,366,08/05/2019 16:32:43,,5
43,C,T,NA,1,NA,08/05/2019 16:32:43,,5
44,C,T,NA,1,NA,08/05/2019 16:32:43,,5
45,C,T,NA,1,NA,08/05/2019 16:32:43,,5
46,C,F,T,2,371,08/05/2019 16:32:43,,1
47,C,F,F,2,373,08/05/2019 16:32:43,,1
48,C,F,T,2,377,08/05/2019 16:32:43,,1
49,C,F,F,2,379,08/05/2019 16:32:43,,1
50,C,F,T,2,383,08/05/2019 16:32:43,,1
51,C,F,F,2,385,08/05/2019 16:32:43,,1
52,C,F,T,2,388,08/05/2019 16:32:43,,1
53,C,F,F,2,371,08/05/2019 16:32:43,,2
54,C,F,T,2,374,08/05/2019 16:32:43,,2
55,C,F,F,2,377,08/05/2019 16:32:43,,2
56,C,F,T,2,380,08/05/2019 16:32:43,,2
57,C,F,F,2,383,08/05/2019 16:32:43,,2
58,C,F,T,2,386,08/05/2019 16:32:43,,2
59,C,F,F,2,388,08/05/2019 16:32:43,,2
60,C,F,T,2,372,08/05/2019 16:32:43,,3
61,C,F,F,2,374,08/05/2019 16:32:43,,3
62,C,F,T,2,378,08/05/2019 16:32:43,,3
63,C,F,F,2,380,08/05/2019 16:32:43,,3
64,C,F,T,2,384,08/05/2019 16:32:43,,3
65,C,F,F,2,386,08/05/2019 16:32:43,,3
66,C,F,NA,2,NA,08/05/2019 16:32:43,,3
67,C,F,F,2,372,08/05/2019 16:32:43,,4
68,C,F,T,2,375,08/05/2019 16:32:43,,4
69,C,F,F,2,378,08/05/2019 16:32:43,,4
70,C,F,T,2,382,08/05/2019 16:32:43,,4
71,C,F,F,2,384,08/05/2019 16:32:43,,4
72,C,F,T,2,387,08/05/2019 16:32:43,,4
73,C,F,NA,2,NA,08/05/2019 16:32:43,,4
74,C,F,T,2,373,08/05/2019 16:32:43,,5
75,C,F,NA,2,NA,08/05/2019 16:32:43,,5
76,C,F,T,2,379,08/05/2019 16:32:43,,5
77,C,F,F,2,382,08/05/2019 16:32:43,,5
78,C,F,T,2,385,08/05/2019 16:32:43,,5
79,C,F,F,2,387,08/05/2019 16:32:43,,5
80,C,F,NA,2,NA,08/05/2019 16:32:43,,5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
